census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   22800 recorded, 28 unevaluable, 536.5/min
   22850 recorded, 28 unevaluable, 535.5/min
   22900 recorded, 28 unevaluable, 534.4/min
   22950 recorded, 28 unevaluable, 533.5/min
   23000 recorded, 28 unevaluable, 532.9/min
   23050 recorded, 28 unevaluable, 532.3/min
   23100 recorded, 28 unevaluable, 531.8/min
   23150 recorded, 28 unevaluable, 531.2/min
   23200 recorded, 28 unevaluable, 530.6/min
   23250 recorded, 28 unevaluable, 529.4/min
   23300 recorded, 28 unevaluable, 528.6/min
   23350 recorded, 28 unevaluable, 528.1/min
   23400 recorded, 28 unevaluable, 527.4/min
   23450 recorded, 28 unevaluable, 526.8/min
   23500 recorded, 28 unevaluable, 526.1/min
   23550 recorded, 28 unevaluable, 525.7/min
   23600 recorded, 28 unevaluable, 525.4/min
   23650 recorded, 28 unevaluable, 524.9/min
   23700 recorded, 28 unevaluable, 524.4/min
   23750 recorded, 28 unevaluable, 524.0/min
   23800 recorded, 28 unevaluable, 523.5/min
   23850 recorded, 28 unevaluable, 523.0/min
   23900 recorded, 28 unevaluable, 522.4/min
   23950 recorded, 28 unevaluable, 522.0/min
   24000 recorded, 28 unevaluable, 521.5/min
   24050 recorded, 28 unevaluable, 520.8/min
   24100 recorded, 29 unevaluable, 520.3/min
   24150 recorded, 29 unevaluable, 519.9/min
   24200 recorded, 29 unevaluable, 519.4/min
   24250 recorded, 29 unevaluable, 518.8/min
   24300 recorded, 29 unevaluable, 518.4/min
   24350 recorded, 29 unevaluable, 517.7/min
   24400 recorded, 29 unevaluable, 517.3/min
   24450 recorded, 29 unevaluable, 516.6/min
   24500 recorded, 29 unevaluable, 516.1/min
   24550 recorded, 29 unevaluable, 515.6/min
   24600 recorded, 29 unevaluable, 515.0/min
   24650 recorded, 29 unevaluable, 514.6/min
   24700 recorded, 29 unevaluable, 514.1/min
   24750 recorded, 29 unevaluable, 513.4/min
   24800 recorded, 29 unevaluable, 512.6/min
   24850 recorded, 30 unevaluable, 511.8/min
   24900 recorded, 30 unevaluable, 511.1/min
   24950 recorded, 30 unevaluable, 510.5/min
   25000 recorded, 30 unevaluable, 509.8/min
   25050 recorded, 30 unevaluable, 509.3/min
   25100 recorded, 30 unevaluable, 508.9/min
   25150 recorded, 30 unevaluable, 508.0/min
   25200 recorded, 30 unevaluable, 507.7/min
   25250 recorded, 30 unevaluable, 507.4/min
   25300 recorded, 30 unevaluable, 507.0/min
   25350 recorded, 30 unevaluable, 507.0/min
   25400 recorded, 30 unevaluable, 506.7/min
   25450 recorded, 30 unevaluable, 506.5/min
   25500 recorded, 30 unevaluable, 506.1/min
   25550 recorded, 30 unevaluable, 506.0/min
   25600 recorded, 30 unevaluable, 506.1/min
   25650 recorded, 31 unevaluable, 506.0/min
   25700 recorded, 31 unevaluable, 506.1/min
   25750 recorded, 31 unevaluable, 506.2/min
   25800 recorded, 31 unevaluable, 506.3/min
   25850 recorded, 31 unevaluable, 506.4/min
   25900 recorded, 31 unevaluable, 506.6/min
   25950 recorded, 31 unevaluable, 506.7/min
   26000 recorded, 31 unevaluable, 506.9/min
